#Verb,Root,Sep,Trans
verpflegen,pflegen,n,to feed
ertrinken,trinken,n,be drowned
,erlangen,n,securable
,irren,n,to err
abstellen,stellen,y,to cut off
umbringen,bringen,y,to slay {slew, slain}
behindern,hindern,n,handicap
,horchen,n,harken
übernehmen,nehmen,n,to adopt
unterbrechen,brechen,n,to break
besetzen,setzen,n,to occupy
ausmachen,machen,y,amount to
verleihen,leihen,n,to award
einrichten,richten,y,construct
,achten,n,respect
absondern,sondern,y,to abstract
abweichen,weichen,y,to deviate
betreiben,treiben,n,to bustle
einschließen,schließen,y,to embed
hinnehmen,nehmen,y,to accept
vermeiden,meiden,n,to avoid
abhauen,hauen,y,to scoot
beantragen,tragen,n,to propose (for)
abschlagen,schlagen,y,to refuse
abstimmen,stimmen,y,to attune
verfolgen,folgen,n,to follow
kennzeichnen,zeichnen,n,distinguish
,wischen,n,to smear
teilnehmen,nehmen,y,partake
verschließen,schließen,n,to closure
austauschen,tauschen,y,to replace
umsetzen,setzen,y,to permute
verfallen,fallen,n,addicted
aufmachen,machen,y,to open up
auffallen,fallen,y,to attract attention
ausrasten,rasten,y,to flip out
übertreiben,treiben,n,overpays
ausschlafen,schlafen,y,to sleep late
,speisen,n,dine
umbenennen,benennen,y,to redefine
übersteigen,steigen,n,to exceed
aufdrängen,drängen,y,force on
zusammenleben,leben,y,to live together
,starren,n,to peer
einprägen,prägen,y,to impress
anlächeln,lächeln,y,to smile at
zerreißen,reißen,n,to disrupt
abwerfen,werfen,y,to drop
eingreifen,greifen,y,to encroach
,geraten,n,advised
erleben,leben,n,to live to see
,härten,n,to cure
,kreuzen,n,to cross
,bügeln,n,to iron
vermissen,missen,n,to miss
abschicken,schicken,y,to send {sent, sent}
,liefern,n,deliver
absetzen,setzen,y,degradeher
feststellen,stellen,y,to ascertain
erstellen,stellen,n,to appoint
verhören,hören,n,to examine
einräumen,räumen,y,to concede
anheben,heben,y,to jack
,spannen,n,tense
erstechen,stechen,n,to stab
vermischen,mischen,n,to intermingle
,ordnen,n,to arrange
verstreichen,streichen,n,to elapse
,montieren,n,to assemble
verirren,irren,y,to astray
verordnen,ordnen,n,to decree
wegräumen,räumen,y,to clear away
,deuten,n,portend
angehen,gehen,y,to go on
andauern,dauern,y,to continue
ausschließen,schließen,y,precluding
,salzen,n,to salt
aufhängen,hängen,y,hanged
,prägen,n,to coin
,glücken,n,to succeed
wehtun,tun,y,ache
errichten,richten,n,erect
,bremsen,n,to retard
einwickeln,wickeln,y,to envelop
anstreben,streben,y,aspire
,streben,n,aspire
anvertrauen,vertrauen,y,to commit
